"","refshort","patch_type","diversity_index","q_order","diversity_value","sd","n_pairs","habitat_amount","number_patches"
"22","Almeida-Gomes_2014","fragmented","gamma","q = 2",2.58941133493372,0.688702644742918,4,25.9426,104
"23","Almeida-Gomes_2014","fragmented","beta","q = 0",1.64355497229513,0.289055273606298,4,25.9426,104
"24","Almeida-Gomes_2014","fragmented","beta","q = 2",1.47868256292574,0.38515580541581,4,25.9426,104
"25","Arroyo_Rodriguez_2016","continuous","alpha","q = 0",11.5455186970095,1.08345239674869,2,85.6412,22
"26","Arroyo_Rodriguez_2016","continuous","alpha","q = 2",4.70145335547746,0.413585540231643,2,85.6412,22
"27","Arroyo_Rodriguez_2016","continuous","gamma","q = 0",17.1887741643844,1.25072040321197,2,85.6412,22
"28","Arroyo_Rodriguez_2016","continuous","gamma","q = 2",5.39448853578761,0.771003217062148,2,85.6412,22
"29","Arroyo_Rodriguez_2016","continuous","beta","q = 0",1.48878319073154,0.105780103636576,2,85.6412,22
"30","Arroyo_Rodriguez_2016","continuous","beta","q = 2",1.1474087112877,0.152734956483206,2,85.6412,22
"31","Arroyo_Rodriguez_2016","fragmented","alpha","q = 0",10.018165173442,1.26153885880744,9,57.4243,71
"32","Arroyo_Rodriguez_2016","fragmented","alpha","q = 2",4.74332320372119,0.981460047502766,9,57.4243,71
"33","Arroyo_Rodriguez_2016","fragmented","gamma","q = 0",13.7812442360457,1.41460141907248,9,57.4243,71
"34","Arroyo_Rodriguez_2016","fragmented","gamma","q = 2",5.67895382907153,0.797014767351743,9,57.4243,71
